USB_V,USB_A,USB_W,Int_Accel,Ext_Accel,Net_Traffic,RF_Density,Sys_Temp,Label
4.902,1.981,9.711,2.4199,2.5969,133.654,-30.5,86.1,Yes
5.005,0.474,2.331,0.2851,0.1889,6.599,-59.5,47.8,No
4.904,1.857,9.094,2.3034,2.9472,76.567,-26.1,90.4,Yes
5.064,0.159,0.808,0.016,0.0538,1.362,-91.8,36.9,No
4.986,2.004,9.887,2.1961,2.0433,59.494,-40.6,75.8,Yes
5.055,0.123,0.627,0.2675,0.1015,6.428,-79.6,46.8,No
5.039,0.464,2.325,0.3439,0.1876,7.035,-58.1,51.7,No
4.968,2.527,12.53,2.8747,2.9543,123.972,-15.5,81.7,Yes
5.027,0.087,0.451,0.017,0.0297,0.92,-88.4,37.6,No
5.002,1.34,6.637,2.3314,2.314,81.4,-36.5,71.0,Yes
4.905,1.767,8.618,3.0727,2.9998,111.279,-18.5,84.7,Yes
5.045,0.124,0.638,0.1155,0.0542,1.401,-76.5,36.4,No
5.0,0.426,2.114,0.2497,0.1421,3.335,-72.6,42.9,No
4.928,2.098,10.441,3.0223,3.3288,112.522,-11.0,83.6,Yes
4.988,0.909,4.466,0.5167,0.8043,36.267,-33.6,67.5,Yes
5.049,0.299,1.479,0.1337,0.0899,1.224,-73.9,41.6,No
5.014,0.17,0.866,0.21,0.1517,6.523,-64.9,42.1,No
5.04,0.028,0.135,0.1055,0.015,2.246,-98.6,38.6,No
5.005,1.268,6.426,0.7861,0.4552,13.856,-53.0,71.4,Yes
4.968,1.309,6.5,1.9833,1.2024,67.374,-46.0,73.4,Yes
5.05,0.046,0.221,0.0467,0.0182,1.912,-77.9,34.7,No
5.047,0.035,0.186,0.0548,0.0416,2.869,-96.4,36.0,No
5.04,0.399,2.018,0.0904,0.1382,1.784,-79.2,42.6,No
4.957,2.419,12.033,2.7091,3.865,134.235,-22.5,83.2,Yes
4.99,0.525,2.634,0.2262,0.2193,6.275,-59.9,48.0,No
5.04,1.273,6.315,0.7367,0.4862,24.71,-60.8,54.5,Yes
4.966,1.551,7.688,1.3588,1.8832,42.68,-30.0,79.7,Yes
5.053,0.522,2.658,0.3019,0.1581,6.988,-65.0,47.7,No
5.057,0.052,0.292,0.0363,0.0365,2.183,-90.4,33.5,No
5.018,0.442,2.232,0.3366,0.2835,6.29,-63.4,53.6,No
5.009,0.43,2.137,0.1201,0.1121,1.298,-69.2,41.6,No
4.906,3.014,14.602,3.372,3.3339,134.263,-21.1,72.6,Yes
5.018,0.358,1.805,0.0741,0.1791,7.074,-65.0,39.3,No
5.004,0.758,3.765,0.3882,0.4233,18.752,-41.8,58.0,Yes
5.05,0.06,0.306,0.0902,0.0454,1.42,-92.8,40.5,No
5.065,0.206,1.042,0.246,0.1122,2.464,-65.4,43.4,No
4.89,1.59,7.738,2.407,2.3999,141.054,-16.6,85.8,Yes
5.082,0.092,0.489,0.1003,0.0148,1.072,-96.2,39.8,No
5.042,0.172,0.88,0.0567,0.0188,1.478,-83.5,37.2,No
5.036,0.394,1.985,0.2352,0.1715,7.37,-67.4,50.0,No
5.015,0.074,0.371,0.0318,0.0204,2.707,-86.3,36.8,No
5.05,0.165,0.846,0.0007,0.0399,2.197,-84.0,36.6,No
5.055,0.189,0.95,0.0916,0.0091,1.656,-89.6,40.8,No
5.014,0.184,0.921,0.1926,0.0539,4.866,-78.6,48.2,No
5.0,0.554,2.799,0.4201,0.558,19.188,-30.2,64.0,No
4.98,1.201,5.986,0.3809,0.828,11.818,-48.8,63.7,No
4.937,1.456,7.213,2.0336,1.6821,62.209,-34.3,70.4,Yes
5.052,0.016,0.107,0.0386,0.0791,1.062,-93.2,31.2,No
4.986,2.0,9.991,1.9606,1.8989,68.75,-19.0,75.4,Yes
5.013,1.121,5.595,0.5682,0.5955,22.312,-58.5,54.6,No
5.029,0.139,0.691,0.1062,0.1634,5.142,-61.0,43.1,No
4.902,1.785,8.791,2.7586,2.925,95.442,-28.3,78.3,Yes
5.072,0.027,0.124,0.08,0.0775,1.074,-83.7,34.5,No
4.949,1.468,7.332,2.3753,1.1101,75.704,-42.4,75.3,Yes
5.028,0.149,0.749,0.1097,0.0778,1.363,-79.5,30.0,No
4.994,1.172,5.831,0.8337,0.3436,26.792,-49.8,60.3,Yes
5.024,0.408,2.034,0.3095,0.285,6.202,-48.4,47.3,No
5.006,0.384,1.923,0.0853,0.1699,2.589,-75.7,47.5,No
5.015,1.494,7.501,2.4223,2.0572,44.221,-43.3,77.3,Yes
5.021,0.136,0.677,0.1636,0.1874,5.982,-75.7,36.6,No
5.051,0.339,1.753,0.0386,0.0344,2.718,-47.8,52.0,No
5.018,0.088,0.446,0.0241,0.0521,0.5,-85.0,40.6,No
